start_id,end_id,relationship_type,direction
DOID:10652,5524,associates,both
DOID:10652,60314,downregulates,both
DOID:10652,434,upregulates,both
DOID:10652,51490,upregulates,both
DOID:10652,333,associates,both
DOID:10652,9085,downregulates,both
DOID:10652,D000849,presents,both
DOID:10652,4185,downregulates,both
DOID:10652,27132,downregulates,both
DOID:10652,5653,associates,both
DOID:10652,875,upregulates,both
DOID:10652,4915,associates,both
DOID:10652,D007706,presents,both
DOID:10652,8317,downregulates,both
DOID:10652,1471,associates,both
DOID:10652,1020,downregulates,both
DOID:10652,327,associates,both
DOID:10652,403,downregulates,both
DOID:10652,10491,upregulates,both
DOID:10652,1788,downregulates,both
DOID:10652,UBERON:0002148,localizes,both
DOID:10652,2670,associates,both
DOID:10652,1258,downregulates,both
DOID:10652,64170,upregulates,both
DOID:10652,D004314,presents,both
DOID:10652,642,associates,both
DOID:10652,9738,upregulates,both
DOID:10652,55701,upregulates,both
DOID:10652,64782,upregulates,both
DOID:10652,DOID:11949,resembles,both
DOID:10652,114897,upregulates,both
DOID:10652,7019,associates,both
DOID:10652,23261,upregulates,both
DOID:10652,D000381,presents,both
DOID:10652,207,associates,both
DOID:10652,26084,upregulates,both
DOID:10652,1390,upregulates,both
DOID:10652,25909,upregulates,both
DOID:10652,3268,upregulates,both
DOID:10652,9732,upregulates,both
DOID:10652,122616,downregulates,both
DOID:10652,D008569,presents,both
DOID:10652,2185,associates,both
DOID:10652,10871,upregulates,both
DOID:10652,23205,upregulates,both
DOID:10652,80221,upregulates,both
DOID:10652,91369,upregulates,both
DOID:10652,64215,upregulates,both
DOID:10652,10683,downregulates,both
DOID:10652,1054,upregulates,both
DOID:10652,UBERON:0001890,localizes,both
DOID:10652,79012,downregulates,both
DOID:10652,1630,downregulates,both
DOID:10652,84733,upregulates,both
DOID:10652,79656,downregulates,both
DOID:10652,80347,upregulates,both
DOID:10652,22976,associates,both
DOID:10652,23283,downregulates,both
DOID:10652,29097,upregulates,both
DOID:10652,785,downregulates,both
DOID:10652,29028,upregulates,both
DOID:10652,119,downregulates,both
DOID:10652,5328,associates,both
DOID:10652,284,upregulates,both
DOID:10652,11072,downregulates,both
DOID:10652,79611,upregulates,both
DOID:10652,1141,associates,both
DOID:10652,4137,associates,both
DOID:10652,D000377,presents,both
DOID:10652,7915,downregulates,both
DOID:10652,1010,downregulates,both
DOID:10652,717,upregulates,both
DOID:10652,10944,downregulates,both
DOID:10652,56938,downregulates,both
DOID:10652,1235,downregulates,both
DOID:10652,79603,upregulates,both
DOID:10652,887,downregulates,both
DOID:10652,4535,associates,both
DOID:10652,580,upregulates,both
DOID:10652,5742,associates,both
DOID:10652,5621,associates,both
DOID:10652,257407,upregulates,both
DOID:10652,10858,associates,both
DOID:10652,5743,associates,both
DOID:10652,1349,downregulates,both
DOID:10652,3630,associates,both
DOID:10652,1807,downregulates,both
DOID:10652,79719,downregulates,both
DOID:10652,1266,upregulates,both
DOID:10652,79000,downregulates,both
DOID:10652,8110,downregulates,both
DOID:10652,4843,associates,both
DOID:10652,23236,associates,both
DOID:10652,79658,upregulates,both
DOID:10652,6376,downregulates,both
DOID:10652,55691,associates,both
DOID:10652,25,upregulates,both
DOID:10652,55676,associates,both
DOID:10652,1759,downregulates,both
DOID:10652,1652,downregulates,both
DOID:10652,1824,upregulates,both
DOID:10652,D011595,presents,both
DOID:10652,6347,associates,both
DOID:10652,22985,upregulates,both
DOID:10652,138162,downregulates,both
DOID:10652,322,associates,both
DOID:10652,80162,upregulates,both
DOID:10652,5243,upregulates,both
DOID:10652,D001039,presents,both
DOID:10652,5599,associates,both
DOID:10652,1350,downregulates,both
DOID:10652,90993,downregulates,both
DOID:10652,10840,upregulates,both
DOID:10652,1565,associates,both
DOID:10652,2186,upregulates,both
DOID:10652,D011596,presents,both
DOID:10652,D003147,presents,both
DOID:10652,594857,associates,both
DOID:10652,64123,upregulates,both
DOID:10652,6622,associates,both
DOID:10652,686,upregulates,both
DOID:10652,590,associates,both
DOID:10652,351,associates,both
DOID:10652,253782,downregulates,both
DOID:10652,5649,associates,both
DOID:10652,22885,downregulates,both
DOID:10652,607,upregulates,both
DOID:10652,4129,associates,both
DOID:10652,64149,downregulates,both
DOID:10652,1820,upregulates,both
DOID:10652,D009207,presents,both
DOID:10652,516,downregulates,both
DOID:10652,23492,downregulates,both
DOID:10652,22907,downregulates,both
DOID:10652,7913,upregulates,both
DOID:10652,1841,upregulates,both
DOID:10652,868,upregulates,both
DOID:10652,140459,downregulates,both
DOID:10652,10938,upregulates,both
DOID:10652,8913,downregulates,both
DOID:10652,6572,associates,both
DOID:10652,80344,downregulates,both
DOID:10652,51362,downregulates,both
DOID:10652,D006816,presents,both
DOID:10652,9229,downregulates,both
DOID:10652,1795,associates,both
DOID:10652,51596,downregulates,both
DOID:10652,8618,downregulates,both
DOID:10652,54955,downregulates,both
DOID:10652,D020336,presents,both
DOID:10652,57020,upregulates,both
DOID:10652,D000648,presents,both
DOID:10652,10939,downregulates,both
DOID:10652,2033,upregulates,both
DOID:10652,444,upregulates,both
DOID:10652,581,associates,both
DOID:10652,1103,associates,both
DOID:10652,201134,upregulates,both
DOID:10652,79822,upregulates,both
DOID:10652,54927,downregulates,both
DOID:10652,378,downregulates,both
DOID:10652,1200,associates,both
DOID:10652,1149,downregulates,both
DOID:10652,11095,downregulates,both
DOID:10652,7276,associates,both
DOID:10652,27328,associates,both
DOID:10652,7461,upregulates,both
DOID:10652,7965,downregulates,both
DOID:10652,10347,associates,both
DOID:10652,UBERON:0001981,localizes,both
DOID:10652,79007,downregulates,both
DOID:10652,81873,downregulates,both
DOID:10652,801,downregulates,both
DOID:10652,25825,upregulates,both
DOID:10652,79586,upregulates,both
DOID:10652,55114,upregulates,both
DOID:10652,8623,downregulates,both
DOID:10652,1105,upregulates,both
DOID:10652,2182,downregulates,both
DOID:10652,2013,upregulates,both
DOID:10652,8999,downregulates,both
DOID:10652,10423,downregulates,both
DOID:10652,965,upregulates,both
DOID:10652,D018888,presents,both
DOID:10652,UBERON:0001017,localizes,both
DOID:10652,10980,downregulates,both
DOID:10652,UBERON:0001771,localizes,both
DOID:10652,6653,associates,both
DOID:10652,5663,associates,both
