start_id,end_id,relationship_type,direction
81565,GO:0008361,participates,both
29882,GO:0008361,participates,both
5341,GO:0008361,participates,both
54910,GO:0008361,participates,both
114908,GO:0008361,participates,both
51330,GO:0008361,participates,both
2475,GO:0008361,participates,both
23122,GO:0008361,participates,both
6405,GO:0008361,participates,both
5879,GO:0008361,participates,both
6696,GO:0008361,participates,both
6049,GO:0008361,participates,both
223117,GO:0008361,participates,both
10371,GO:0008361,participates,both
196527,GO:0008361,participates,both
57698,GO:0008361,participates,both
7504,GO:0008361,participates,both
2017,GO:0008361,participates,both
1946,GO:0008361,participates,both
27185,GO:0008361,participates,both
11344,GO:0008361,participates,both
2258,GO:0008361,participates,both
859,GO:0008361,participates,both
6792,GO:0008361,participates,both
2045,GO:0008361,participates,both
56920,GO:0008361,participates,both
5916,GO:0008361,participates,both
9037,GO:0008361,participates,both
6387,GO:0008361,participates,both
10451,GO:0008361,participates,both
659,GO:0008361,participates,both
9723,GO:0008361,participates,both
10439,GO:0008361,participates,both
10500,GO:0008361,participates,both
23566,GO:0008361,participates,both
57521,GO:0008361,participates,both
4137,GO:0008361,participates,both
7161,GO:0008361,participates,both
5048,GO:0008361,participates,both
91584,GO:0008361,participates,both
23038,GO:0008361,participates,both
7248,GO:0008361,participates,both
3091,GO:0008361,participates,both
10723,GO:0008361,participates,both
10505,GO:0008361,participates,both
150465,GO:0008361,participates,both
348,GO:0008361,participates,both
207,GO:0008361,participates,both
1002,GO:0008361,participates,both
394,GO:0008361,participates,both
8482,GO:0008361,participates,both
7422,GO:0008361,participates,both
22902,GO:0008361,participates,both
23111,GO:0008361,participates,both
9798,GO:0008361,participates,both
3783,GO:0008361,participates,both
1808,GO:0008361,participates,both
57611,GO:0008361,participates,both
1906,GO:0008361,participates,both
3326,GO:0008361,participates,both
8829,GO:0008361,participates,both
7474,GO:0008361,participates,both
3778,GO:0008361,participates,both
3611,GO:0008361,participates,both
84335,GO:0008361,participates,both
1785,GO:0008361,participates,both
10154,GO:0008361,participates,both
5361,GO:0008361,participates,both
4131,GO:0008361,participates,both
9821,GO:0008361,participates,both
4504,GO:0008361,participates,both
3792,GO:0008361,participates,both
10411,GO:0008361,participates,both
1826,GO:0008361,participates,both
128239,GO:0008361,participates,both
64218,GO:0008361,participates,both
374946,GO:0008361,participates,both
51393,GO:0008361,participates,both
7143,GO:0008361,participates,both
59341,GO:0008361,participates,both
389541,GO:0008361,participates,both
3475,GO:0008361,participates,both
3575,GO:0008361,participates,both
