start_id,end_id,relationship_type,direction
5590,GO:0034399,participates,both
1063,GO:0034399,participates,both
10238,GO:0034399,participates,both
84844,GO:0034399,participates,both
26012,GO:0034399,participates,both
7175,GO:0034399,participates,both
64395,GO:0034399,participates,both
51588,GO:0034399,participates,both
26953,GO:0034399,participates,both
84823,GO:0034399,participates,both
26993,GO:0034399,participates,both
8573,GO:0034399,participates,both
6310,GO:0034399,participates,both
55269,GO:0034399,participates,both
9782,GO:0034399,participates,both
6314,GO:0034399,participates,both
29128,GO:0034399,participates,both
2672,GO:0034399,participates,both
8507,GO:0034399,participates,both
4000,GO:0034399,participates,both
1051,GO:0034399,participates,both
4137,GO:0034399,participates,both
9688,GO:0034399,participates,both
79711,GO:0034399,participates,both
24137,GO:0034399,participates,both
285643,GO:0034399,participates,both
57122,GO:0034399,participates,both
4287,GO:0034399,participates,both
59348,GO:0034399,participates,both
3837,GO:0034399,participates,both
4968,GO:0034399,participates,both
23165,GO:0034399,participates,both
5371,GO:0034399,participates,both
9612,GO:0034399,participates,both
6678,GO:0034399,participates,both
6672,GO:0034399,participates,both
9972,GO:0034399,participates,both
3843,GO:0034399,participates,both
6304,GO:0034399,participates,both
9360,GO:0034399,participates,both
862,GO:0034399,participates,both
5687,GO:0034399,participates,both
22828,GO:0034399,participates,both
7919,GO:0034399,participates,both
26277,GO:0034399,participates,both
10856,GO:0034399,participates,both
4001,GO:0034399,participates,both
8089,GO:0034399,participates,both
4602,GO:0034399,participates,both
3717,GO:0034399,participates,both
55660,GO:0034399,participates,both
