start_id,end_id,relationship_type,direction
DB01229,C0239783,causes,both
DB01229,C0549567,causes,both
DB01229,23094,upregulates,both
DB01229,C0042514,causes,both
DB01229,C0004238,causes,both
DB01229,11200,downregulates,both
DB01229,C0018965,causes,both
DB01229,C0018784,causes,both
DB01229,10298,upregulates,both
DB01229,596,binds,both
DB01229,C0242429,causes,both
DB01229,C0085436,causes,both
DB01229,C1306341,causes,both
DB01229,2920,upregulates,both
DB01229,5018,downregulates,both
DB01229,51071,downregulates,both
DB01229,8345,upregulates,both
DB01229,7298,downregulates,both
DB01229,C0042571,causes,both
DB01229,C0343387,causes,both
DB01229,C0085584,causes,both
DB01229,C0032617,causes,both
DB01229,C0041969,causes,both
DB01229,C0010200,causes,both
DB01229,C1384666,causes,both
DB01229,C0002871,causes,both
DB01229,C0600142,causes,both
DB01229,C0221345,causes,both
DB01229,7994,downregulates,both
DB01229,C0009319,causes,both
DB01229,C0027540,causes,both
DB01229,C0549373,causes,both
DB01229,C0162429,causes,both
DB01229,C0854303,causes,both
DB01229,C0085669,causes,both
DB01229,9837,downregulates,both
DB01229,C0877359,causes,both
DB01229,C0152027,causes,both
DB01229,C0033774,causes,both
DB01229,C0151798,causes,both
DB01229,C0311468,causes,both
DB01229,22883,upregulates,both
DB01229,C0023218,causes,both
DB01229,28234,binds,both
DB01229,10954,upregulates,both
DB01229,C0851341,causes,both
DB01229,C0038999,causes,both
DB01229,C0424790,causes,both
DB01229,11188,downregulates,both
DB01229,C0011603,causes,both
DB01229,C0027769,causes,both
DB01229,C0023467,causes,both
DB01229,5588,upregulates,both
DB01229,3185,downregulates,both
DB01229,C0037299,causes,both
DB01229,387,downregulates,both
DB01229,2956,downregulates,both
DB01229,C0151766,causes,both
DB01229,C0037274,causes,both
DB01229,C0239981,causes,both
DB01229,C0858635,causes,both
DB01229,5819,upregulates,both
DB01229,8318,downregulates,both
DB01229,C0022575,causes,both
DB01229,C0013922,causes,both
DB01229,C0007787,causes,both
DB01229,C0038454,causes,both
DB01229,C0948008,causes,both
DB01229,C0041364,causes,both
DB01229,C0003467,causes,both
DB01229,C0020542,causes,both
DB01229,C0030446,causes,both
DB01229,1576,binds,both
DB01229,C0332534,causes,both
DB01229,10058,downregulates,both
DB01229,C0020621,causes,both
DB01229,7465,downregulates,both
DB01229,C0023380,causes,both
DB01229,C0011606,causes,both
DB01229,991,upregulates,both
DB01229,C0549229,causes,both
DB01229,C0014549,causes,both
DB01229,10670,downregulates,both
DB01229,10972,downregulates,both
DB01229,22827,downregulates,both
DB01229,C0035078,causes,both
DB01229,6184,downregulates,both
DB01229,4174,downregulates,both
DB01229,C0206062,causes,both
DB01229,C2129214,causes,both
DB01229,C0400823,causes,both
DB01229,C0023530,causes,both
DB01229,C0021845,causes,both
DB01229,C0040264,causes,both
DB01229,C0332575,causes,both
DB01229,C0085393,causes,both
DB01229,C0032227,causes,both
DB01229,C0860239,causes,both
DB01229,C0037199,causes,both
DB01229,6790,upregulates,both
DB01229,329,upregulates,both
DB01229,C0234215,causes,both
DB01229,C1167945,causes,both
DB01229,C0346647,causes,both
DB01229,C0235280,causes,both
DB01229,C0020615,causes,both
DB01229,C0035243,causes,both
DB01229,C0039070,causes,both
DB01229,7358,downregulates,both
DB01229,C0494475,causes,both
DB01229,C0002418,causes,both
DB01229,C0235031,causes,both
DB01229,C0022568,causes,both
DB01229,C0151626,causes,both
DB01229,5829,upregulates,both
DB01229,C0151799,causes,both
DB01229,100861540,binds,both
DB01229,7105,downregulates,both
DB01229,C0027765,causes,both
DB01229,C0015967,causes,both
DB01229,C0013182,causes,both
DB01229,C0085682,causes,both
DB01229,C0008031,causes,both
DB01229,2921,upregulates,both
DB01229,4175,downregulates,both
DB01229,10051,upregulates,both
DB01229,C0232495,causes,both
DB01229,51450,upregulates,both
DB01229,C0520459,causes,both
DB01229,1577,binds,both
DB01229,C0595877,causes,both
DB01229,C0012833,causes,both
DB01229,C0016382,causes,both
DB01229,4792,downregulates,both
DB01229,5982,downregulates,both
DB01229,93594,upregulates,both
DB01229,C0277925,causes,both
DB01229,4925,upregulates,both
DB01229,7319,downregulates,both
DB01229,4137,binds,both
DB01229,C0017672,causes,both
DB01229,C0151786,causes,both
DB01229,10146,downregulates,both
DB01229,C0151849,causes,both
DB01229,C0917801,causes,both
DB01229,C0028081,causes,both
DB01229,C0014742,causes,both
DB01229,C1260880,causes,both
DB01229,4927,downregulates,both
DB01229,347733,binds,both
DB01229,C0085593,causes,both
DB01229,C0238844,causes,both
DB01229,C0392676,causes,both
DB01229,9429,binds,both
DB01229,4312,upregulates,both
DB01229,6192,downregulates,both
DB01229,C0151605,causes,both
DB01229,C2607914,causes,both
DB01229,9817,upregulates,both
DB01229,C0476273,causes,both
DB01229,C0020649,causes,both
DB01229,C3665347,causes,both
DB01229,8349,upregulates,both
DB01229,C0852911,causes,both
DB01229,C0151723,causes,both
DB01229,C0151735,causes,both
DB01229,C0018801,causes,both
DB01229,C0151825,causes,both
DB01229,8312,upregulates,both
DB01229,C0039231,causes,both
DB01229,10383,binds,both
DB01229,C0016204,causes,both
DB01229,C0178298,causes,both
DB01229,1551,binds,both
DB01229,C0014591,causes,both
DB01229,C0018790,causes,both
DB01229,1545,binds,both
DB01229,C0231807,causes,both
DB01229,5715,upregulates,both
DB01229,C0042029,causes,both
DB01229,C0026946,causes,both
DB01229,C0232462,causes,both
DB01229,C0042963,causes,both
DB01229,C1720798,causes,both
DB01229,1213,downregulates,both
DB01229,C0032584,causes,both
DB01229,C1527344,causes,both
DB01229,C0030554,causes,both
DB01229,10634,upregulates,both
DB01229,51070,upregulates,both
DB01229,558,upregulates,both
DB01229,C0017168,causes,both
DB01229,C0043144,causes,both
DB01229,51024,downregulates,both
DB01229,C0700590,causes,both
DB01229,1062,upregulates,both
DB01229,3855,downregulates,both
DB01229,9928,upregulates,both
DB01229,C0005940,causes,both
DB01229,C0009806,causes,both
DB01229,C0278134,causes,both
DB01229,203068,binds,both
DB01229,89845,binds,both
DB01229,C0423791,causes,both
DB01229,C0030305,causes,both
DB01229,C0034155,causes,both
DB01229,C1112470,causes,both
DB01229,C0521839,causes,both
DB01229,C0042769,causes,both
DB01229,C0013456,causes,both
DB01229,C2363731,causes,both
DB01229,C0241136,causes,both
DB01229,C0011615,causes,both
DB01229,C0036974,causes,both
DB01229,C0027051,causes,both
DB01229,C0013604,causes,both
DB01229,C0476280,causes,both
DB01229,C0267792,causes,both
DB01229,55143,upregulates,both
DB01229,C0020456,causes,both
DB01229,C0151827,causes,both
DB01229,3978,downregulates,both
DB01229,DOID:1324,treats,both
DB01229,C0085633,causes,both
DB01229,C0006277,causes,both
DB01229,C0042023,causes,both
DB01229,C0021308,causes,both
DB01229,51514,downregulates,both
DB01229,C0162830,causes,both
DB01229,C0151313,causes,both
DB01229,79890,upregulates,both
DB01229,C0016199,causes,both
DB01229,C0085610,causes,both
DB01229,C0028734,causes,both
DB01229,9847,downregulates,both
DB01229,79073,downregulates,both
DB01229,C0018939,causes,both
DB01229,C0948594,causes,both
DB01229,C0037268,causes,both
DB01229,C0521592,causes,both
DB01229,C0019825,causes,both
DB01229,C0031350,causes,both
DB01229,64943,downregulates,both
DB01229,C0151736,causes,both
DB01229,C0344232,causes,both
DB01229,4363,binds,both
DB01229,C0151905,causes,both
DB01229,C0036454,causes,both
DB01229,10489,downregulates,both
DB01229,8856,binds,both
DB01229,8343,upregulates,both
DB01229,4023,upregulates,both
DB01229,C0392171,causes,both
DB01229,C0877153,causes,both
DB01229,C2242996,causes,both
DB01229,9868,downregulates,both
DB01229,1558,binds,both
DB01229,1933,downregulates,both
DB01229,C1608954,causes,both
DB01229,11197,upregulates,both
DB01229,C0340464,causes,both
DB01229,C0242698,causes,both
DB01229,11098,downregulates,both
DB01229,C0010418,causes,both
DB01229,C0152227,causes,both
DB01229,C1565489,causes,both
DB01229,6793,upregulates,both
DB01229,C0750016,causes,both
