start_id,end_id,relationship_type,direction
4137,7189,interacts,both
4137,5071,interacts,both
4137,GO:0007628,participates,both
4137,GO:0000904,participates,both
4137,GO:0022604,participates,both
UBERON:0001893,4137,expresses,both
3312,4137,interacts,both
4137,GO:0005198,participates,both
4137,GO:0007017,participates,both
4137,GO:0060076,participates,both
4137,GO:0010506,participates,both
UBERON:0001893,4137,upregulates,both
4137,GO:0030516,participates,both
4137,GO:0031344,participates,both
4137,PC7_7501,participates,both
UBERON:0000178,4137,downregulates,both
4137,4741,interacts,both
4137,8287,interacts,both
2185,4137,interacts,both
4137,GO:0048667,participates,both
UBERON:0000029,4137,expresses,both
4137,GO:0051270,participates,both
4137,GO:0050772,participates,both
4137,6812,interacts,both
4137,7322,interacts,both
UBERON:0001044,4137,downregulates,both
4137,GO:0005929,participates,both
4137,GO:0022603,participates,both
UBERON:0000948,4137,expresses,both
4137,6506,interacts,both
4137,WP3286_r84312,participates,both
UBERON:0002037,4137,upregulates,both
4137,GO:0007584,participates,both
4137,GO:0010970,participates,both
4137,GO:0009894,participates,both
DOID:10652,4137,associates,both
573,4137,interacts,both
UBERON:0002367,4137,expresses,both
4137,GO:0007010,participates,both
4137,GO:0036477,participates,both
4137,GO:0030529,participates,both
4137,5536,interacts,both
UBERON:0000473,4137,expresses,both
4137,5594,interacts,both
207,4137,interacts,both
4137,7277,interacts,both
4137,GO:0007417,participates,both
4137,GO:0036473,participates,both
4137,GO:0036464,participates,both
4137,PC7_4940,participates,both
4137,GO:0008631,participates,both
4137,GO:0019902,participates,both
3304,4137,interacts,both
4137,GO:0031346,participates,both
4137,GO:0060284,participates,both
4137,GO:0008361,participates,both
4137,GO:0051640,participates,both
4137,GO:0000226,participates,both
4137,GO:0048858,participates,both
4137,6710,interacts,both
4137,6780,interacts,both
4137,GO:0044708,participates,both
4137,GO:0022411,participates,both
4137,GO:0045597,participates,both
1457,4137,interacts,both
4137,WP49_r78543,participates,both
4137,7529,interacts,both
4137,GO:0034399,participates,both
UBERON:0001013,4137,expresses,both
2033,4137,interacts,both
4137,GO:0017124,participates,both
DB01229,4137,binds,both
839,4137,interacts,both
4137,GO:0048638,participates,both
60,4137,interacts,both
4137,6198,interacts,both
834,4137,interacts,both
4137,GO:1990138,participates,both
4137,GO:0032990,participates,both
4137,PC7_2508,participates,both
4137,WP2380_r79953,participates,both
4137,GO:0061564,participates,both
4137,85508,covaries,both
UBERON:0001235,4137,downregulates,both
UBERON:0000996,4137,downregulates,both
4137,GO:0014069,participates,both
UBERON:0001675,4137,upregulates,both
815,4137,interacts,both
2931,4137,interacts,both
4137,GO:0040007,participates,both
4137,WP304_r78799,participates,both
4137,5525,interacts,both
4137,7314,interacts,both
UBERON:0002369,4137,downregulates,both
4137,GO:0048812,participates,both
4137,GO:0010720,participates,both
4137,GO:0010975,participates,both
4137,GO:0008092,participates,both
4137,GO:0051646,participates,both
UBERON:0000043,4137,expresses,both
4137,PC7_1684,participates,both
4137,GO:0061387,participates,both
4137,5260,interacts,both
25,4137,interacts,both
UBERON:0000995,4137,downregulates,both
4137,GO:0045773,participates,both
UBERON:0001295,4137,downregulates,both
4137,GO:0098794,participates,both
4137,4744,interacts,both
DOID:332,4137,associates,both
UBERON:0000966,4137,expresses,both
4137,GO:0031175,participates,both
4137,GO:0010770,participates,both
4137,GO:0001558,participates,both
4137,6850,interacts,both
UBERON:0000007,4137,expresses,both
4137,5580,interacts,both
UBERON:0002107,4137,downregulates,both
UBERON:0000992,4137,downregulates,both
4137,GO:0097190,participates,both
351,4137,interacts,both
4137,9252,interacts,both
4137,6300,interacts,both
4137,GO:0034599,participates,both
4137,GO:0051962,participates,both
4137,GO:0044706,participates,both
4137,5300,interacts,both
4137,GO:0015631,participates,both
4137,GO:0043005,participates,both
4137,GO:0031334,participates,both
UBERON:0001296,4137,downregulates,both
4137,6446,interacts,both
4137,10013,interacts,both
4137,GO:0045202,participates,both
4137,GO:0001764,participates,both
4137,GO:0031329,participates,both
4137,GO:0031116,participates,both
1020,4137,interacts,both
UBERON:0000002,4137,downregulates,both
UBERON:0002240,4137,upregulates,both
4137,GO:0044087,participates,both
4137,GO:0032535,participates,both
4137,GO:0051654,participates,both
4137,GO:0048675,participates,both
4137,57787,interacts,both
4137,6195,interacts,both
4137,6285,interacts,both
UBERON:0000007,4137,upregulates,both
4137,GO:0044297,participates,both
840,4137,interacts,both
